AudioSentence,Frase,Item,Condition,Group,Type
SS1.wav,O senador atacava o repórter.,1,SS1,A,Experimental
OS2.wav,A diretora visitava a atriz.,2,OS2,A,Experimental
SA3.wav,A cantora adorava o maestro.,3,SA3,A,Experimental
OA4.wav,A vizinha procurava a criança.,4,OA4,A,Experimental
SB5.wav,O caçador observava o guarda.,5,SB5,A,Experimental
OB6.wav,O fazendeiro saudava o camponês.,6,OB6,A,Experimental
SS7.wav,O dentista perturbava o cliente.,7,SS7,A,Experimental
OS8.wav,O agente confrontava o detento.,8,OS8,A,Experimental
SA9.wav,O editor detestava a modelo.,9,SA9,A,Experimental
OA10.wav,O pedreiro olhava o encanador.,10,OA10,A,Experimental
SB11.wav,O escritor subornava o músico.,11,SB11,A,Experimental
OB12.wav,A cozinheira namorava o garçom.,12,OB12,A,Experimental
SS13.wav,O zagueiro odiava o goleiro.,13,SS13,A,Experimental
OS14.wav,O hóspede insultava o gerente.,14,OS14,A,Experimental
SA15.wav,O técnico xingava o jogador.,15,SA15,A,Experimental
OA16.wav,O ladrão intimidava o porteiro.,16,OA16,A,Experimental
SB17.wav,O paciente chamava o médico.,17,SB17,A,Experimental
OB18.wav,O pescador ajudava o feirante.,18,OB18,A,Experimental
SS19.wav,O passageiro puxava o piloto.,19,SS19,A,Experimental
OS20.wav,O promotor irritava o banqueiro.,20,OS20,A,Experimental
SA21.wav,O artista inspirava o produtor.,21,SA21,A,Experimental
OA22.wav,O prefeito amava a assistente.,22,OA22,A,Experimental
SB23.wav,O aluno criticava o professor.,23,SB23,A,Experimental
OB24.wav,O soldado exaltava o sargento.,24,OB24,A,Experimental
DIST1.wav,O aluno tinha todos os livros.,25,DIST1,A,Filler
DIST2.wav,A secretária escreveu a mensagem.,26,DIST2,A,Filler
DIST3.wav,O contador disse que alguém faltou.,27,DIST3,A,Filler
DIST4.wav,A bolsa será cortada se o aluno reprovar todas as disciplinas.,28,DIST4,A,Filler
DIST5.wav,O novo cozinheiro comprou feijão.,29,DIST5,A,Filler
DIST6.wav,A aluna escreve boas redações.,30,DIST6,A,Filler
DIST7.wav,A filha é suspeita da morte da mãe.,31,DIST7,A,Filler
DIST8.wav,Maria costurava meias.,32,DIST8,A,Filler
DIST9.wav,Um navio brasileiro entrava na baía.,33,DIST9,A,Filler
DIST10.wav,A professora estava doente.,34,DIST10,A,Filler
DIST11.wav,O locutor anunciou algo no jornal da TV.,35,DIST11,A,Filler
DIST12.wav,O policial viu o turista ontem.,36,DIST12,A,Filler
DIST13.wav,O aluno abraçou o amigo.,37,DIST13,A,Filler
DIST14.wav,O professor escreveu a tese.,38,DIST14,A,Filler
DIST15.wav,A mãe fez um bolo.,39,DIST15,A,Filler
DIST16.wav,O professor usava o computador.,40,DIST16,A,Filler
DIST17.wav,A atriz perdeu o prêmio.,41,DIST17,A,Filler
DIST18.wav,Apenas a casa está à venda.,42,DIST18,A,Filler
DIST19.wav,O ladrão catava o lixo.,43,DIST19,A,Filler
DIST20.wav,A mulher encontrava o ator.,44,DIST20,A,Filler
DIST21.wav,Destranca o armário de madeira.,45,DIST21,A,Filler
DIST22.wav,Eu evito sair de casa sem documento.,46,DIST22,A,Filler
DIST23.wav,Não gostei do assunto sobre o qual o professor falou.,47,DIST23,A,Filler
DIST24.wav,Marina brincava no parque.,48,DIST24,A,Filler
